,N,V_n,|Cdao-V_n|,m_k,n_k,V_nk,|Cdao-V_nk|
10000,50.0,4.280800885038715,0.0947987669223922,16.0,625.0,4.408881333155688,0.033281681194580415
20000,100.0,4.586578358287422,0.21097870632631466,19.0,1052.0,4.625002512446942,0.2494028604858345
40000,200.0,4.3980507006743785,0.02245104871327097,24.0,1666.0,4.666725080175094,0.2911254282139861
80000,400.0,4.347925586634464,0.02767406532664385,31.0,2580.0,4.577914524079962,0.2023148721188548
160000,800.0,4.250593041366492,0.1250066105946157,38.0,4210.0,4.548372957482091,0.17277330552098302
320000,1600.0,4.360514679741517,0.01508497221959093,48.0,6666.0,4.560419668340082,0.18482001637897483
640000,3200.0,4.480754343491606,0.10515469153049839,61.0,10491.0,4.55986997428762,0.18427032232651275
1280000,6400.0,4.43997228014777,0.06437262818666234,76.0,16842.0,4.5245054809726515,0.14890582901154392
2560000,12800.0,4.380950948459192,0.0053512964980848565,96.0,26666.0,4.488441322130096,0.11284167016898827
5120000,25600.0,4.423512884711982,0.047913232750874,121.0,42314.0,4.450953014217083,0.07535336225597522
