,bin,avg_bin,bbs,bbsr
10,3.703631,3.623203,3.617453,3.58382
11,3.512694,3.608162,3.616219,3.581352
12,3.688601,3.600648,3.611436,3.582073
13,3.491921,3.590261,3.610962,3.581125
14,3.675131,3.583526,3.607099,3.580055
15,3.496673,3.585902,3.60698,3.579818
16,3.663134,3.579904,3.603828,3.58131
17,3.525139,3.594137,3.60386,3.581374
18,3.65243,3.588784,3.601276,3.579069
19,3.545845,3.599137,3.601349,3.579216
20,3.642832,3.594339,3.599228,3.581004
21,3.561191,3.602012,3.599286,3.581118
22,3.634179,3.597685,3.59755,3.57888
23,3.572717,3.603448,3.597561,3.578902
24,3.626333,3.599525,3.596148,3.58086
25,3.58145,3.603891,3.596098,3.58076
26,3.61918,3.600315,3.594958,3.578955
27,3.588098,3.603639,3.594842,3.578723
28,3.612627,3.600362,3.593935,3.580772
29,3.593161,3.602894,3.593755,3.580411
30,3.606595,3.599878,3.593046,3.579111
31,3.597002,3.601798,3.592804,3.578629
32,3.601019,3.599011,3.592263,3.580698
33,3.599888,3.600454,3.591968,3.580107
34,3.595845,3.597867,3.591569,3.579278
35,3.602021,3.598933,3.591226,3.578592
36,3.591028,3.596524,3.590948,3.580621
37,3.603552,3.59729,3.590565,3.579855
38,3.586527,3.59504,3.590389,3.579429
39,3.604601,3.595564,3.589973,3.578598
40,3.582311,3.593456,3.589882,3.580535
41,3.60526,3.593785,3.589441,3.579654
42,3.578349,3.591804,3.589419,3.579553
43,3.605601,3.591975,3.58896,3.578634
44,3.574617,3.590109,3.588995,3.580441
45,3.605683,3.59015,3.588524,3.579498
46,3.571094,3.588389,3.588605,3.579649
47,3.605553,3.588323,3.588127,3.578693
48,3.56776,3.586657,3.588243,3.580339
49,3.605248,3.586504,3.587764,3.579381
50,3.5646,3.584924,3.587908,3.579718
51,3.604799,3.5847,3.587432,3.578767
52,3.561598,3.583199,3.587595,3.580233
53,3.604231,3.582915,3.587127,3.579297
54,3.558742,3.581487,3.587303,3.579764
55,3.603566,3.581154,3.586847,3.578851
56,3.55602,3.579793,3.58703,3.580124
57,3.60282,3.57942,3.586587,3.579239
58,3.557372,3.580096,3.586773,3.57979
59,3.602007,3.579689,3.586347,3.57894
60,3.561027,3.581517,3.586531,3.580016
61,3.60114,3.581083,3.586125,3.579204
62,3.56431,3.582725,3.586302,3.579801
63,3.600229,3.58227,3.585918,3.579031
64,3.567262,3.583746,3.586087,3.57991
65,3.599282,3.583272,3.585725,3.579186
66,3.569918,3.5846,3.585883,3.579798
67,3.598307,3.584113,3.585544,3.579121
68,3.572308,3.585308,3.585689,3.57981
69,3.597309,3.584809,3.585375,3.579181
70,3.574459,3.585884,3.585506,3.579785
71,3.596294,3.585377,3.585216,3.579207
72,3.576395,3.586344,3.585331,3.579715
73,3.595265,3.58583,3.585067,3.579186
74,3.578136,3.586701,3.585166,3.579766
75,3.594228,3.586182,3.584927,3.579288
76,3.5797,3.586964,3.585008,3.579627
77,3.593184,3.586442,3.584794,3.579199
78,3.581105,3.587144,3.584858,3.579742
79,3.592136,3.586621,3.584668,3.579363
80,3.582365,3.58725,3.584714,3.579547
81,3.591087,3.586726,3.584549,3.579216
82,3.583492,3.58729,3.584578,3.579714
83,3.590039,3.586766,3.584436,3.57943
84,3.584499,3.587269,3.584447,3.579475
85,3.588994,3.586746,3.584328,3.579236
86,3.585395,3.587195,3.584323,3.579685
87,3.587952,3.586674,3.584225,3.57949
88,3.586192,3.587072,3.584204,3.579412
89,3.586915,3.586553,3.584127,3.579258
90,3.586896,3.586905,3.58409,3.579656
91,3.585884,3.58639,3.584033,3.579542
92,3.587515,3.5867,3.583981,3.579358
93,3.58486,3.586188,3.583943,3.579281
94,3.588058,3.586459,3.583877,3.579628
95,3.583843,3.58595,3.583856,3.579586
96,3.588529,3.586186,3.583778,3.579312
97,3.582835,3.585682,3.583773,3.579303
98,3.588934,3.585885,3.583683,3.579601
99,3.581835,3.585385,3.583693,3.579622
100,3.58928,3.585557,3.583591,3.579275
